No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
51,propiedad en matematicas,1000,1,250,19,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
52,potenciacion y propiedades,590,1,243,20,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
53,las 7 propiedades de la radicación,480,1,242,5,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
54,propiedades de matematicas,480,1,242,13,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
55,propiedades de matemáticas,480,1,242,13,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
56,simple present wh questions,480,1,242,1,http://platzi.com/clases/2393-presente-simple-vocabulario-comun/41130-wh-questions-in-simple-present/
57,voz a voz,480,1,242,8,http://platzi.com/clases/2314-terminos-marketing-digital/37911-que-es-marketing-voz-a-voz/
58,wh questions present simple,480,1,242,28,http://platzi.com/clases/2393-presente-simple-vocabulario-comun/41130-wh-questions-in-simple-present/
59,radicacion propiedades,590,1,236,27,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
60,potenciación propiedades,590,1,236,15,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
61,potenciacion propiedades,590,1,236,19,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
62,platzi precio,590,1,236,10,http://platzi.com/precios/
63,propiedades potenciacion,590,1,236,19,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
64,propiedad potenciacion,590,1,236,15,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
65,signos de agrupación,720,1,230,25,http://platzi.com/clases/1449-algebra/15884-signos-de-agrupacion/
66,signos de agrupacion,720,1,230,26,http://platzi.com/clases/1449-algebra/15884-signos-de-agrupacion/
67,algoritmos cubo rubik 3x3,720,1,230,7,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
68,has en ingles,720,1,230,38,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
69,platzi conf 2024,480,1,220,24,http://platzi.com/cursos/platziconfbogota2024/
70,leyes de la gestalt ejemplos,390,1,209,6,http://platzi.com/blog/ejemplos-ley-gestalt/
71,estructura del verbo to be,390,1,209,5,http://platzi.com/blog/ea-estructura-del-verbo-to-be/
72,potencias y sus propiedades,390,1,209,32,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
73,potencia y sus propiedades,390,1,209,4,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
74,como resolver cubo rubik,390,1,209,17,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
75,propiedades de la matematica,480,1,203,19,http://platzi.com/clases/3221-pensamiento-logico/50670-propiedades-y-orden-de-las-operaciones/
76,que son comandos,590,1,199,13,http://platzi.com/clases/2292-terminal/37343-que-es-un-comando/
77,texto escrito,390,1,199,3,http://platzi.com/clases/1396-ortografia-basica/14474-construyendo-un-texto/
78,qué es un comando,590,1,199,1,http://platzi.com/clases/2292-terminal/37343-que-es-un-comando/
79,que es un comando,590,1,199,1,http://platzi.com/clases/2292-terminal/37343-que-es-un-comando/
80,qué es platzi,590,1,199,9,http://platzi.com/blog/que-es-platzi/
81,comillas dobles,390,1,199,12,http://platzi.com/tutoriales/1101-php-2017/1409-diferencia-entre-comillas-simples-y-comillas-dobles-en-php/
82,aprende a programar,390,1,198,35,http://platzi.com/blog/como-aprender-a-programar/
83,quien es platzi,590,1,196,26,http://platzi.com/blog/que-es-platzi/
84,potenciacion y sus propiedades,390,1,194,11,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
85,cuando se usa have y has,390,1,194,5,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
86,propiedades de la radicación ejemplos,390,1,194,5,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
87,aprender a programar,390,1,194,3,http://platzi.com/blog/como-aprender-a-programar/
88,que es autodidacto,720,1,193,3,http://platzi.com/blog/que-es-ser-autodidacta-y-como-lograrlo/
89,que es autodidacta,720,1,192,5,http://platzi.com/blog/que-es-ser-autodidacta-y-como-lograrlo/
90,multitenant,390,1,190,32,http://platzi.com/blog/multi-tenant-que-es-y-por-que-es-importante/
91,cursos en linea,480,1,189,95,http://platzi.com/cursos/
92,que es frontend,480,1,189,8,http://platzi.com/blog/que-es-frontend-y-backend/
93,que es front end,480,1,189,6,http://platzi.com/blog/que-es-frontend-y-backend/
94,potencia y radicación,480,1,187,13,http://platzi.com/clases/1449-algebra/16201-leyes-de-los-exponentes-potencia-de-una-potencia-y/
95,series numericas,480,1,187,3,http://platzi.com/tutoriales/1444-pensamiento-logico-2018/6426-series-numericas-y-clasificacion/
96,wh questions simple present,480,1,180,2,http://platzi.com/clases/2393-presente-simple-vocabulario-comun/41130-wh-questions-in-simple-present/
97,pasos cubo rubik,480,1,180,8,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
98,cubo rubik pasos,480,1,180,11,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
99,simple present questions wh,480,1,180,6,http://platzi.com/clases/2393-presente-simple-vocabulario-comun/41130-wh-questions-in-simple-present/
100,ángulos de cámara,1000,1,174,16,http://platzi.com/blog/angulos-camara-cine-fotografia/
101,logica de programacion,1000,1,173,15,http://platzi.com/tutoriales/3208-programacion-basica/24683-como-aprender-logica-de-programacion-consejos-clave/
102,cursos programacion,590,1,171,4,http://platzi.com/cursos/programacion-basica/
103,emociones negativas y positivas,720,1,169,1,http://platzi.com/clases/1614-inteligencia-emocional/20960-emociones-positivas-y-emociones-negativas-emocione/
104,backend y frontend,720,1,169,14,http://platzi.com/blog/que-es-frontend-y-backend/
105,emociones positivas negativas,720,1,169,19,http://platzi.com/clases/1614-inteligencia-emocional/20960-emociones-positivas-y-emociones-negativas-emocione/
106,frontend y backend,480,1,160,34,http://platzi.com/blog/que-es-frontend-y-backend/
107,símbolo y signo,590,1,157,34,http://platzi.com/tutoriales/1668-marca-visual/9358-diferencia-entre-signo-y-simbolo/
108,como hacer un estado de resultados,390,1,156,10,http://platzi.com/blog/pasos-hacer-estado-de-resultados/
109,movimientos cubo rubik,320,1,151,5,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
110,diferencia entre has y have,320,1,151,5,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
111,java hola mundo,320,1,151,13,http://platzi.com/clases/1631-java-basico/21176-escribe-tu-primer-hola-mundo-en-java/
112,tipos de angulos fotograficos,320,1,151,5,http://platzi.com/blog/angulos-camara-cine-fotografia/
113,computador de antes,320,1,151,6,http://platzi.com/blog/como-funcionaban-computadoras/
114,cursos de programacion desde cero,320,1,151,19,http://platzi.com/cursos/programacion-basica/
115,raiz cuadrada en python,320,1,151,6,http://platzi.com/discusiones/1937-python/145145-como-calcular-raiz-cuadrada-en-python-a-via-la-funcion-estandar-mathsqrt-square-root-blockquote-blockquote-blockquote-from/
116,hola mundo java,320,1,151,13,http://platzi.com/clases/1631-java-basico/21176-escribe-tu-primer-hola-mundo-en-java/
117,términos de la radicación,320,1,151,5,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
118,tipos de ángulos fotográficos,320,1,151,5,http://platzi.com/blog/angulos-camara-cine-fotografia/
119,terminos de la radicacion,320,1,151,5,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
120,computadora de antes,320,1,151,4,http://platzi.com/blog/como-funcionaban-computadoras/
121,hola mundo en java,320,1,151,5,http://platzi.com/clases/1631-java-basico/21176-escribe-tu-primer-hola-mundo-en-java/
122,platzi day,260,1,146,1,http://platzi.com/profes/platzi-day/
123,comilla invertida,320,1,145,18,http://platzi.com/discusiones/1339-fundamentos-javascript/49292-alguien-podria-decirme-como-hace-la-comilla-invertida/
124,platzi gratis,210,1,139,21,http://platzi.com/blog/cursos-gratis/
125,ley de gestalt ejemplos,320,1,129,2,http://platzi.com/blog/ejemplos-ley-gestalt/
126,diferencia entre have y has,320,1,129,5,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
127,desarrollo de software curso,320,1,129,27,http://platzi.com/ruta/ruta-software/
128,relaciones interpersonales trabajo,320,1,129,13,http://platzi.com/blog/emp-relaciones-interpersonales-trabajo/
129,angulaciones de cámara,260,1,128,13,http://platzi.com/blog/angulos-camara-cine-fotografia/
130,angulaciones de camara,260,1,128,13,http://platzi.com/blog/angulos-camara-cine-fotografia/
131,raíz cuadrada en python,260,1,128,5,http://platzi.com/discusiones/1937-python/145145-como-calcular-raiz-cuadrada-en-python-a-via-la-funcion-estandar-mathsqrt-square-root-blockquote-blockquote-blockquote-from/
132,unit testing,390,1,126,44,http://platzi.com/blog/que-es-unit-testing/
133,lenguaje matematico,390,1,126,18,http://platzi.com/clases/2884-notacion-matematica/47325-lenguaje-matematico/
134,pc programar,320,1,122,19,http://platzi.com/blog/computadora-para-programar/
135,elicitación,480,1,122,31,http://platzi.com/clases/2238-ingenieria-social/36817-que-es-la-elicitacion-y-por-que-es-tan-exitosa/
136,como me veo en el futuro,260,1,118,5,http://platzi.com/tutoriales/1257-futuro-profesional/5774-como-me-veo-en-un-futuro-profesionalmente/
137,cuantos bits tiene un byte,260,1,117,31,http://platzi.com/clases/1098-ingenieria/6549-que-son-bits-y-bytes/
138,platzi logo,260,1,114,18,http://platzi.com/blog/historia-logo-platzi/
139,simbolos geometria,260,1,114,1,http://platzi.com/clases/2884-notacion-matematica/47330-simbolos-geometricos/
140,símbolos geométricos,260,1,114,18,http://platzi.com/clases/2884-notacion-matematica/47330-simbolos-geometricos/
141,abstracción poo,260,1,111,18,http://platzi.com/tutoriales/2034-php-poo/11712-abstraccion-en-poo-2/
142,abstraccion poo,260,1,111,18,http://platzi.com/tutoriales/2034-php-poo/11712-abstraccion-en-poo-2/
143,platzi vacantes,260,1,105,1,http://platzi.com/unete/careers/
144,carreras digitales,260,1,103,5,http://platzi.com/blog/top-10-carreras-digitales/
145,valle del software,210,1,101,15,http://platzi.com/comunidad/que-es-y-en-que-consiste-el-valle-del-software-en-la-ciudad-de-medellin-2/
146,reglas de la radicacion,210,1,99,5,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
147,directora de arte,210,1,99,15,http://platzi.com/blog/director-de-arte/
148,nivel de confianza tabla,210,1,99,5,http://platzi.com/tutoriales/1835-programacion-estocastica/9585-nivel-de-confianza-y-valor-de-z/
149,tabla de verdad negación,210,1,99,11,http://platzi.com/clases/3221-pensamiento-logico/50676-que-son-las-tablas-de-verdad/
150,reglas de radicacion,210,1,99,13,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
151,cuadrado de binomio formula,210,1,99,1,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
152,que es ser autodidacta,210,1,99,2,http://platzi.com/blog/que-es-ser-autodidacta-y-como-lograrlo/
153,plataformas de cursos,210,1,99,17,http://platzi.com/
154,tabla nivel de confianza,170,1,96,5,http://platzi.com/tutoriales/1835-programacion-estocastica/9585-nivel-de-confianza-y-valor-de-z/
155,tabla de nivel de confianza,170,1,96,5,http://platzi.com/tutoriales/1835-programacion-estocastica/9585-nivel-de-confianza-y-valor-de-z/
156,english academy,210,1,91,12,http://platzi.com/escuela/ingles/
157,platzi planes,210,1,91,11,http://platzi.com/precios/
158,que son los comandos,210,1,90,5,http://platzi.com/clases/2292-terminal/37343-que-es-un-comando/
159,platzi que es,210,1,90,27,http://platzi.com/blog/que-es-platzi/
160,ejemplos de voz pasiva en inglés,170,1,90,6,http://platzi.com/blog/ea-ejemplos-voz-pasiva-ingles/
161,qué son los comandos,210,1,90,5,http://platzi.com/clases/2292-terminal/37343-que-es-un-comando/
162,equipos de redes,210,1,87,14,http://platzi.com/clases/2225-redes/35597-conoce-los-dispositivos-de-redes-y-como-funcionan/
163,cuadrado de un binomio formula,210,1,87,5,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
164,equipos de red,210,1,87,14,http://platzi.com/clases/2225-redes/35597-conoce-los-dispositivos-de-redes-y-como-funcionan/
165,ángulos cinematográficos,170,1,85,18,http://platzi.com/blog/angulos-camara-cine-fotografia/
166,director artistico,210,1,83,22,http://platzi.com/blog/director-de-arte/
167,elementos visuales,260,1,79,18,http://platzi.com/clases/1228-fundamentos-diseno/10121-que-son-los-elementos-visuales/
168,platzi black friday,210,1,76,15,http://platzi.com/blog/black-friday-2023-los-mejores-cursos-online/
169,radicación y sus propiedades,210,1,76,5,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
170,curso de capcut,210,1,74,26,http://platzi.com/cursos/capcut/
171,como eran las primeras computadoras,260,1,73,1,http://platzi.com/blog/como-funcionaban-computadoras/
172,director de arte,210,1,67,17,http://platzi.com/blog/director-de-arte/
173,mock testing,210,1,63,11,http://platzi.com/discusiones/1437-express-js/128662-que-son-los-mocks/
174,hardware externo,210,1,63,18,http://platzi.com/clases/2793-computacion-basica/46749-que-es-el-hardware-externo-y-tipos-de-puertos/
175,cómo eran las primeras computadoras,210,1,52,5,http://platzi.com/blog/como-funcionaban-computadoras/
176,curso marca personal,30,1,4,26,http://platzi.com/cursos/marca-personal/
177,como armar un cubo rubik,18100,2,1561,29,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
178,binomio al cuadrado,4400,2,370,22,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
179,binomios al cuadrado,4400,2,370,22,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
180,programacion de software,4400,2,276,33,http://platzi.com/escuela/programacion-software/
181,armar un cubo rubik,3600,2,220,37,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
182,npcs,5400,2,201,32,http://platzi.com/clases/1509-personajes-npcs/17580-que-son-los-npcs-y-por-qui-son-importantes/
183,frontend,3600,2,184,47,http://platzi.com/blog/que-es-frontend-y-backend/
184,como armar un cubo rubik 3x3,2900,2,163,35,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
185,como armar cubo rubik 3x3,2900,2,141,38,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
186,full stack,1900,2,138,24,http://platzi.com/clases/2008-html-css/31091-que-es-fullstack/
187,clases web,1300,2,136,83,http://platzi.com/
188,p np,1600,2,135,37,http://platzi.com/blog/p-vs-np-problema-dificil-viajes-tiempo/
189,como armar un cubo rubik 3x3 en 7 pasos,2400,2,111,6,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
190,binomios cuadrados perfectos,2400,2,109,20,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
191,binomio al cuadrado perfecto,2400,2,103,23,http://platzi.com/clases/1449-algebra/16056-binomio-al-cuadrado/
192,curso de programacion,1900,2,95,9,http://platzi.com/cursos/programacion-basica/
193,operadores lógicos,1900,2,92,19,http://platzi.com/clases/3221-pensamiento-logico/50677-operadores-logicos/
194,habilidades duras,1900,2,90,22,http://platzi.com/blog/emp-habilidades-duras/
195,has inglés,720,2,89,18,http://platzi.com/blog/ea-verbos-en-ingles-have-y-has-cuando-se-utilizan/
196,10 palabras sobreesdrujulas,2400,2,89,16,http://platzi.com/clases/1396-ortografia-basica/14461-palabras-sobreesdrujulas/
197,reglas de la potenciación,1900,2,87,9,http://platzi.com/clases/1449-algebra/16203-leyes-de-los-exponentes-multiplicacion-y-division/
198,ejemplo de signos de puntuación,1600,2,87,30,http://platzi.com/tutoriales/1396-ortografia-basica/7611-14-ejemplos-sencillos-del-uso-de-los-signos-de-puntuacion/
199,programar,1300,2,84,49,http://platzi.com/blog/como-aprender-a-programar/
200,curso analisis de datos,1300,2,84,42,http://platzi.com/ruta/data-analyst/
201,dennis ritchie,720,2,83,21,http://platzi.com/tutoriales/1936-lenguaje-c/7063-el-creador-de-lenjuage-c-quien-fue-dennis-ritchie/
202,cursos gratis de programación,1300,2,82,30,http://platzi.com/cursos/programacion-basica/
203,ejemplos de radicacion,1300,2,80,22,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
204,radicación y potenciación,1300,2,80,14,http://platzi.com/clases/1449-algebra/16201-leyes-de-los-exponentes-potencia-de-una-potencia-y/
205,ejemplo de radicación,1300,2,80,27,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
206,ley de potencias,1000,2,78,1,http://platzi.com/clases/1449-algebra/16203-leyes-de-los-exponentes-multiplicacion-y-division/
207,propiedad de la raiz,1300,2,76,16,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
208,signos de puntuación ejemplos,1900,2,76,30,http://platzi.com/tutoriales/1396-ortografia-basica/7611-14-ejemplos-sencillos-del-uso-de-los-signos-de-puntuacion/
209,trafficker,1900,2,75,19,http://platzi.com/clases/2314-terminos-marketing-digital/39987-que-es-trafficker-digital-y-cuales-son-sus-funcion/
210,signos de puntuacion ejemplos,1900,2,74,23,http://platzi.com/tutoriales/1396-ortografia-basica/7611-14-ejemplos-sencillos-del-uso-de-los-signos-de-puntuacion/
211,byte,1900,2,72,10,http://platzi.com/clases/1098-ingenieria/6549-que-son-bits-y-bytes/
212,que es documental,880,2,69,1,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
213,documental que es,880,2,69,13,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
214,rar o zip,1600,2,68,9,http://platzi.com/discusiones/1741-computacion-basica/82927-cual-es-la-diferencia-entre-rar-y-zip-en-la-compresion-de-archivos/
215,cursos de programacion gratis,1000,2,66,29,http://platzi.com/cursos/programacion-basica/
216,tipo de base de datos,1600,2,64,37,http://platzi.com/blog/bases-de-datos-que-son-que-tipos-existen/
217,que es la documental,880,2,64,2,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
218,que es un documental,880,2,64,35,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
219,que es el documental,880,2,64,5,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
220,qué es un documental,880,2,64,41,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
221,setters,1000,2,63,31,http://platzi.com/clases/1629-java-oop/21587-getters-y-setters/
222,puppeteer,880,2,63,11,http://platzi.com/blog/que-es-puppeteer-y-como-podemos-usarlo-para-testing/
223,armar cubo rubik 3x3,1000,2,61,37,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
224,cursos de programacion gratuitos,1000,2,61,28,http://platzi.com/cursos/programacion-basica/
225,propiedades de la raiz,1000,2,61,24,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
226,propiedades de la raíz,1000,2,61,23,http://platzi.com/clases/1393-fundamentos-matematicas/14411-radicacion-y-sus-propiedades/
227,cursos de programación gratis,1000,2,61,36,http://platzi.com/cursos/programacion-basica/
228,diferencia de cuadrados perfectos,880,2,59,31,http://platzi.com/clases/1449-algebra/16060-diferencia-de-cuadrados-perfectos/
229,qué es el documental,880,2,59,5,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
230,diferencia de cuadrado perfecto,880,2,59,38,http://platzi.com/clases/1449-algebra/16060-diferencia-de-cuadrados-perfectos/
231,documentales que es,880,2,58,1,http://platzi.com/blog/que-es-un-documental-y-como-crear-uno/
232,leyes de la potenciacion,1000,2,57,25,http://platzi.com/clases/1449-algebra/16203-leyes-de-los-exponentes-multiplicacion-y-division/
233,leyes de la potenciación,1000,2,57,25,http://platzi.com/clases/1449-algebra/16203-leyes-de-los-exponentes-multiplicacion-y-division/
234,cursos de excel básico,1000,2,56,31,http://platzi.com/cursos/excel-basico/
235,potencia de potencia ejemplos,880,2,55,46,http://platzi.com/clases/1449-algebra/16201-leyes-de-los-exponentes-potencia-de-una-potencia-y/
236,como armar cubo rubik,1300,2,54,36,http://platzi.com/blog/7-pasos-para-resolver-y-memorizar-el-algoritmo-del-cubo-de-rubbik/
237,pascal case,480,2,54,1,http://platzi.com/clases/2218-pensamiento-logico-2020/35651-nomenclaturas-de-programacion-camelcase-pascalcase/
238,autodidacta significado,590,2,51,7,http://platzi.com/blog/que-es-ser-autodidacta-y-como-lograrlo/
239,autodidacta que significa,590,2,50,3,http://platzi.com/blog/que-es-ser-autodidacta-y-como-lograrlo/
240,políticamente correcto,260,2,48,18,http://platzi.com/clases/1810-criterio-digital/26277-la-trampa-de-lo-politicamente-correcto/
241,dispositivos de red,480,2,45,14,http://platzi.com/clases/2225-redes/35597-conoce-los-dispositivos-de-redes-y-como-funcionan/
242,signo de agrupación,720,2,44,20,http://platzi.com/clases/1449-algebra/15884-signos-de-agrupacion/
243,critico de ratatouille,720,2,44,1,http://platzi.com/comunidad/la-pelicula-ratatouille-y-la-frase-de-la-critica-de-anton-ego/
244,cuales son las propiedades de la potenciación,720,2,40,34,http://platzi.com/clases/1393-fundamentos-matematicas/14410-potenciacion-y-sus-propiedades/
245,programación cursos,590,2,40,4,http://platzi.com/cursos/programacion-basica/
246,cursos ia,390,2,39,8,http://platzi.com/cursos/introduccion-ai/
247,sharding,320,2,39,32,http://platzi.com/tutoriales/2059-practico-sql/9024-sharding-que-es/
248,carrera programacion,390,2,39,36,http://platzi.com/tutoriales/3208-programacion-basica/24458-donde-estudiar-programacion-en-colombia/
249,programacion software,390,2,39,23,http://platzi.com/escuela/programacion-software/
250,install npm,390,2,39,51,http://platzi.com/clases/1763-npm-js/25048-windows/
